Company,Date,Open,High,Low,Close,Adj Close,Volume
Netflix,1/2/2015,49.151428,50.331429,48.73143,49.848572,49.848572,13475000
Netflix,1/5/2015,49.258572,49.258572,47.147144,47.311428,47.311428,18165000
Netflix,1/6/2015,47.347141,47.639999,45.66143,46.501431,46.501431,16037700
Netflix,1/7/2015,47.347141,47.421429,46.271427,46.742859,46.742859,9849700
Netflix,1/8/2015,47.119999,47.835712,46.478573,47.779999,47.779999,9601900
Netflix,1/9/2015,47.631428,48.02,46.898571,47.041428,47.041428,9578100
Netflix,1/12/2015,47.09,47.19857,45.264286,45.547142,45.547142,12944400
Netflix,1/13/2015,46.021427,47.048573,45.900002,46.255714,46.255714,18721500
Netflix,1/14/2015,47.07143,47.369999,45.68,46.32,46.32,19884900
Netflix,1/15/2015,46.547142,46.785713,45.844288,46.251431,46.251431,11669000
Netflix,1/16/2015,46.857143,48.25,46.381428,48.191429,48.191429,19696600
Netflix,1/20/2015,48.57143,50,47.714287,49.828571,49.828571,40551000
Netflix,1/21/2015,59.234287,59.240002,57.41,58.468571,58.468571,66902500
Netflix,1/22/2015,58.57143,61.374287,57.828571,61.205715,61.205715,33319300
Netflix,1/23/2015,60.988571,62.742859,60.881428,62.494286,62.494286,26784100
Netflix,1/26/2015,62.57143,63.898571,61.957142,63.794285,63.794285,21268800
Netflix,1/27/2015,63.087143,65.339996,63.049999,64.881432,64.881432,24612700
Netflix,1/28/2015,64.741432,64.821426,63.081429,63.208572,63.208572,24532900
Netflix,1/29/2015,63.204285,63.927143,62.5,63.400002,63.400002,15127700
Netflix,1/30/2015,63.132858,63.984287,62.655712,63.114285,63.114285,13215300
Netflix,2/2/2015,62.842857,63.42857,61.955715,63.009998,63.009998,12990600
Netflix,2/3/2015,63.32,65.46714,62.73,65.274284,65.274284,16440200
Netflix,2/4/2015,65.041428,65.174286,63.889999,64.101433,64.101433,12450900
Netflix,2/5/2015,64.541428,65.138573,63.665714,64.129997,64.129997,14248500
Netflix,2/6/2015,64.25,64.428574,63.175713,63.48,63.48,8898400
Netflix,2/9/2015,63.19857,63.785713,62.637142,63.295715,63.295715,8173200
Netflix,2/10/2015,63.459999,65.157143,63.101429,64.849998,64.849998,15418900
Netflix,2/11/2015,64.830002,66.141426,64.557144,64.984283,64.984283,13953100
Netflix,2/12/2015,65.058571,65.60714,64.451431,65.247147,65.247147,8464400
Netflix,2/13/2015,65.428574,66.629997,65.422859,66.585716,66.585716,12968900
Netflix,2/17/2015,66.515717,67.371429,65.944283,67.137146,67.137146,11170600
Netflix,2/18/2015,67.022858,68.07,66.645714,67.865715,67.865715,10316600
Netflix,2/19/2015,67.85714,68.714287,67.574287,67.800003,67.800003,10432100
Netflix,2/20/2015,67.949997,68.374283,67.637146,68.314285,68.314285,9422000
Netflix,2/23/2015,68.300003,68.314285,67.14286,67.405716,67.405716,9031400
Netflix,2/24/2015,67.372856,68.08429,67.355713,67.839996,67.839996,6075300
Netflix,2/25/2015,67.807144,68.794289,67.807144,68.332855,68.332855,6854400
Netflix,2/26/2015,68.625717,69.5,68.43,69.004288,69.004288,10852800
Netflix,2/27/2015,69.081429,69.428574,67.818573,67.844284,67.844284,11516400
Netflix,3/2/2015,67.714287,68.60714,67.234283,68.60714,68.60714,10187100
Netflix,3/3/2015,68.344284,68.457146,67.507141,67.815712,67.815712,7426300
Netflix,3/4/2015,67.529999,67.925713,66.182854,67.110001,67.110001,17453800
Netflix,3/5/2015,67.428574,67.464287,66.419998,66.807144,66.807144,11244800
Netflix,3/6/2015,66.64286,66.925713,64.844284,64.874283,64.874283,12888400
Netflix,3/9/2015,64.989998,65.092857,62.828571,63.66143,63.66143,18970700
Netflix,3/10/2015,63.015713,63.351429,61.982857,62.151428,62.151428,17947300
Netflix,3/11/2015,62.240002,63.939999,62.240002,62.884285,62.884285,16363200
Netflix,3/12/2015,63.347141,64.582855,63.34,64.045715,64.045715,14654500
Netflix,3/13/2015,63.907143,64.057144,62.367142,62.628571,62.628571,10161200
Netflix,3/16/2015,61.547142,61.547142,59.619999,60.281429,60.281429,26796000
Netflix,3/17/2015,59.712856,60.694286,59.384285,59.78857,59.78857,18428200
Netflix,3/18/2015,59.738571,60.650002,59.299999,60.445713,60.445713,14634900
Netflix,3/19/2015,60.459999,61.21143,60.255714,60.744286,60.744286,11449900
Netflix,3/20/2015,61.337143,61.785713,60.895714,61.185715,61.185715,13641600
Netflix,3/23/2015,60.889999,61.155712,60.330002,60.714287,60.714287,7664300
Netflix,3/24/2015,61.135715,63.098572,61.118572,62.611427,62.611427,16888900
Netflix,3/25/2015,62.684284,62.691429,60.244286,60.25,60.25,21652400
Netflix,3/26/2015,59.628571,60.447144,59.389999,59.751431,59.751431,16039100
Netflix,3/27/2015,59.330002,59.847141,58.572857,59.252857,59.252857,15852200
Netflix,3/30/2015,59.715714,60.564285,59.364285,60.367142,60.367142,13272700
Netflix,3/31/2015,60.110001,60.419998,59.455715,59.527142,59.527142,14248500
Netflix,4/1/2015,59.642857,59.785713,58.702858,59.017143,59.017143,14639800
Netflix,4/2/2015,59.07143,59.607143,58.861427,59.154285,59.154285,9864400
Netflix,4/6/2015,58.76857,60.447144,58.464287,60.330002,60.330002,10730300
Netflix,4/7/2015,60.497143,60.848572,60.042858,60.494286,60.494286,9977100
Netflix,4/8/2015,61.201427,63.107143,61.184284,63.049999,63.049999,22327900
Netflix,4/9/2015,63,63.135715,62.114285,62.785713,62.785713,13455400
Netflix,4/10/2015,64.397141,64.995712,63.947144,64.938568,64.938568,22367100
Netflix,4/13/2015,67.239998,69.285713,67.057144,67.811432,67.811432,44436700
Netflix,4/14/2015,68.85714,69.14286,67.421432,68.387146,68.387146,28641900
Netflix,4/15/2015,68.704285,68.704285,67.364288,67.922859,67.922859,42528500
Netflix,4/16/2015,76,81.25,75.714287,80.292854,80.292854,104500900
Netflix,4/17/2015,79.778572,82.14286,79.714287,81.650002,81.650002,58306500
Netflix,4/20/2015,81.785713,82.304283,80.381432,81.055717,81.055717,30766400
Netflix,4/21/2015,81.234283,81.484283,79.800003,80.062859,80.062859,15925700
Netflix,4/22/2015,80.211426,80.71286,79.544289,79.668571,79.668571,12089700
Netflix,4/23/2015,79.655716,80.342857,78.955711,79.865715,79.865715,12687500
Netflix,4/24/2015,80.172859,80.808571,79.507141,79.771431,79.771431,11045300
Netflix,4/27/2015,80.292854,81.785713,80.230003,80.868568,80.868568,15246700
Netflix,4/28/2015,80.589996,81.278572,79.944283,80.437141,80.437141,8826300
Netflix,4/29/2015,80.07,81.055717,79.644287,80.407143,80.407143,9534700
Netflix,4/30/2015,80.237144,80.835716,79.124283,79.5,79.5,10565100
Netflix,5/1/2015,79.855713,79.96714,78.894287,79.575714,79.575714,8906100
Netflix,5/4/2015,79.571426,79.714287,78.900002,79.271431,79.271431,7967400
Netflix,5/5/2015,81.238571,82.442856,80.757141,80.792854,80.792854,27116600
